size,set,algorithm,timing
100,1,enumeration,9.698867797851562
100,1,better_enumeration,1.1639595031738281
100,1,divide_n_conquer,0.7500648498535156
100,1,linear_time,0.05817413330078125
100,2,enumeration,7.497072219848633
100,2,better_enumeration,1.0759830474853516
100,2,divide_n_conquer,0.7081031799316406
100,2,linear_time,0.05698204040527344
100,3,enumeration,6.942987442016602
100,3,better_enumeration,1.0080337524414062
100,3,divide_n_conquer,0.6499290466308594
100,3,linear_time,0.06198883056640625
100,4,enumeration,8.043050765991211
100,4,better_enumeration,1.0800361633300781
100,4,divide_n_conquer,0.6721019744873047
100,4,linear_time,0.06794929504394531
100,5,enumeration,6.474018096923828
100,5,better_enumeration,0.8959770202636719
100,5,divide_n_conquer,0.6060600280761719
100,5,linear_time,0.041961669921875
100,6,enumeration,5.86700439453125
100,6,better_enumeration,0.8258819580078125
100,6,divide_n_conquer,0.5381107330322266
100,6,linear_time,0.041961669921875
100,7,enumeration,5.63502311706543
100,7,better_enumeration,0.8761882781982422
100,7,divide_n_conquer,0.5481243133544922
100,7,linear_time,0.048160552978515625
100,8,enumeration,6.767988204956055
100,8,better_enumeration,1.116037368774414
100,8,divide_n_conquer,0.5321502685546875
100,8,linear_time,0.04601478576660156
100,9,enumeration,5.371809005737305
100,9,better_enumeration,0.7469654083251953
100,9,divide_n_conquer,0.5578994750976562
100,9,linear_time,0.03981590270996094
100,10,enumeration,5.243062973022461
100,10,better_enumeration,0.7300376892089844
100,10,divide_n_conquer,0.48804283142089844
100,10,linear_time,0.03504753112792969
200,1,enumeration,31.533002853393555
200,1,better_enumeration,3.15093994140625
200,1,divide_n_conquer,1.0988712310791016
200,1,linear_time,0.07605552673339844
200,2,enumeration,33.50496292114258
200,2,better_enumeration,2.705097198486328
200,2,divide_n_conquer,0.9980201721191406
200,2,linear_time,0.06508827209472656
200,3,enumeration,28.163909912109375
200,3,better_enumeration,2.9449462890625
200,3,divide_n_conquer,1.0972023010253906
200,3,linear_time,0.07009506225585938
200,4,enumeration,32.7458381652832
200,4,better_enumeration,2.9449462890625
200,4,divide_n_conquer,1.1000633239746094
200,4,linear_time,0.06890296936035156
200,5,enumeration,30.961990356445312
200,5,better_enumeration,3.0999183654785156
200,5,divide_n_conquer,1.0988712310791016
200,5,linear_time,0.06794929504394531
200,6,enumeration,32.46879577636719
200,6,better_enumeration,2.8269290924072266
200,6,divide_n_conquer,1.049041748046875
200,6,linear_time,0.06604194641113281
200,7,enumeration,30.826091766357422
200,7,better_enumeration,2.9430389404296875
200,7,divide_n_conquer,1.0960102081298828
200,7,linear_time,0.06890296936035156
200,8,enumeration,34.02900695800781
200,8,better_enumeration,2.959012985229492
200,8,divide_n_conquer,1.1260509490966797
200,8,linear_time,0.0782012939453125
200,9,enumeration,30.555009841918945
200,9,better_enumeration,2.8400421142578125
200,9,divide_n_conquer,1.0900497436523438
200,9,linear_time,0.06699562072753906
200,10,enumeration,30.795812606811523
200,10,better_enumeration,2.991914749145508
200,10,divide_n_conquer,1.0440349578857422
200,10,linear_time,0.06818771362304688
300,1,enumeration,84.80596542358398
300,1,better_enumeration,5.694150924682617
300,1,divide_n_conquer,1.4891624450683594
300,1,linear_time,0.08511543273925781
300,2,enumeration,84.3658447265625
300,2,better_enumeration,5.728006362915039
300,2,divide_n_conquer,1.6930103302001953
300,2,linear_time,0.09489059448242188
300,3,enumeration,84.88082885742188
300,3,better_enumeration,5.679845809936523
300,3,divide_n_conquer,1.466989517211914
300,3,linear_time,0.08702278137207031
300,4,enumeration,116.96410179138184
300,4,better_enumeration,6.525993347167969
300,4,divide_n_conquer,1.619100570678711
300,4,linear_time,0.09584426879882812
300,5,enumeration,83.38093757629395
300,5,better_enumeration,5.68699836730957
300,5,divide_n_conquer,1.489877700805664
300,5,linear_time,0.08487701416015625
300,6,enumeration,86.28392219543457
300,6,better_enumeration,5.726814270019531
300,6,divide_n_conquer,1.4770030975341797
300,6,linear_time,0.08702278137207031
300,7,enumeration,83.08911323547363
300,7,better_enumeration,6.880998611450195
300,7,divide_n_conquer,1.7108917236328125
300,7,linear_time,0.10013580322265625
300,8,enumeration,81.51793479919434
300,8,better_enumeration,5.655050277709961
300,8,divide_n_conquer,1.4710426330566406
300,8,linear_time,0.08392333984375
300,9,enumeration,80.10601997375488
300,9,better_enumeration,5.730867385864258
300,9,divide_n_conquer,1.4820098876953125
300,9,linear_time,0.09012222290039062
300,10,enumeration,80.47795295715332
300,10,better_enumeration,5.730867385864258
300,10,divide_n_conquer,1.4889240264892578
300,10,linear_time,0.09083747863769531
400,1,enumeration,171.33712768554688
400,1,better_enumeration,10.254859924316406
400,1,divide_n_conquer,2.0308494567871094
400,1,linear_time,0.11610984802246094
400,2,enumeration,179.1210174560547
400,2,better_enumeration,10.182857513427734
400,2,divide_n_conquer,2.0208358764648438
400,2,linear_time,0.11396408081054688
400,3,enumeration,172.99389839172363
400,3,better_enumeration,10.091066360473633
400,3,divide_n_conquer,2.0170211791992188
400,3,linear_time,0.11014938354492188
400,4,enumeration,170.457124710083
400,4,better_enumeration,10.133028030395508
400,4,divide_n_conquer,2.0699501037597656
400,4,linear_time,0.11515617370605469
400,5,enumeration,171.18096351623535
400,5,better_enumeration,10.170936584472656
400,5,divide_n_conquer,2.017974853515625
400,5,linear_time,0.11205673217773438
400,6,enumeration,177.2308349609375
400,6,better_enumeration,10.14399528503418
400,6,divide_n_conquer,2.0339488983154297
400,6,linear_time,0.11396408081054688
400,7,enumeration,174.08204078674316
400,7,better_enumeration,10.363101959228516
