set,size,algorithm,timing
106,2106,changegreedy,0.020980835
106,2106,changedp,16.17288589
107,2107,changegreedy,0.020027161
107,2107,changedp,19.99092102
108,2108,changegreedy,0.01502037
108,2108,changedp,13.5409832
109,2109,changegreedy,0.016927719
109,2109,changedp,14.62101936
110,2110,changegreedy,0.01502037
110,2110,changedp,12.55393028
111,2111,changegreedy,0.028848648
111,2111,changedp,12.62593269
112,2112,changegreedy,0.01502037
112,2112,changedp,12.73608208
113,2113,changegreedy,0.020027161
113,2113,changedp,15.65599442
114,2114,changegreedy,0.012874603
114,2114,changedp,12.72392273
115,2115,changegreedy,0.023126602
115,2115,changedp,12.88700104
116,2116,changegreedy,0.013113022
116,2116,changedp,12.6991272
117,2117,changegreedy,0.021934509
117,2117,changedp,12.91799545
118,2118,changegreedy,0.015974045
118,2118,changedp,12.81619072
119,2119,changegreedy,0.024080276
119,2119,changedp,13.02599907
120,2120,changegreedy,0.014066696
120,2120,changedp,12.74299622
121,2121,changegreedy,0.022888184
121,2121,changedp,17.01498032
122,2122,changegreedy,0.014066696
122,2122,changedp,12.97497749
123,2123,changegreedy,0.025987625
123,2123,changedp,12.69316673
124,2124,changegreedy,0.021934509
124,2124,changedp,20.23005486
125,2125,changegreedy,0.025033951
125,2125,changedp,12.47000694
126,2126,changegreedy,0.015974045
126,2126,changedp,13.71002197
127,2127,changegreedy,0.015974045
127,2127,changedp,12.76803017
128,2128,changegreedy,0.011920929
128,2128,changedp,12.63809204
129,2129,changegreedy,0.020027161
129,2129,changedp,12.89391518
130,2130,changegreedy,0.027894974
130,2130,changedp,14.63413239
131,2131,changegreedy,0.013828278
131,2131,changedp,13.4871006
132,2132,changegreedy,0.026941299
132,2132,changedp,16.00694656
133,2133,changegreedy,0.01502037
133,2133,changedp,13.4510994
134,2134,changegreedy,0.028133392
134,2134,changedp,14.03617859
135,2135,changegreedy,0.012159348
135,2135,changedp,13.52310181
136,2136,changegreedy,0.016927719
136,2136,changedp,12.7530098
137,2137,changegreedy,0.015974045
137,2137,changedp,13.3368969
138,2138,changegreedy,0.029087067
138,2138,changedp,12.62187958
139,2139,changegreedy,0.01502037
139,2139,changedp,18.04089546
140,2140,changegreedy,0.030040741
140,2140,changedp,14.22309875
141,2141,changegreedy,0.033855438
141,2141,changedp,14.18113708
142,2142,changegreedy,0.014066696
142,2142,changedp,12.77303696
143,2143,changegreedy,0.030040741
143,2143,changedp,15.05613327
144,2144,changegreedy,0.01502037
144,2144,changedp,13.03482056
145,2145,changegreedy,0.020980835
145,2145,changedp,13.1649971
146,2146,changegreedy,0.017166138
146,2146,changedp,13.03696632
147,2147,changegreedy,0.020980835
147,2147,changedp,13.32688332
148,2148,changegreedy,0.01502037
148,2148,changedp,12.87794113
149,2149,changegreedy,0.023841858
149,2149,changedp,13.26799393
150,2150,changegreedy,0.014066696
150,2150,changedp,13.03315163
151,2151,changegreedy,0.023126602
151,2151,changedp,15.0551796
152,2152,changegreedy,0.012874603
152,2152,changedp,13.02695274
153,2153,changegreedy,0.023126602
153,2153,changedp,13.75603676
154,2154,changegreedy,0.027894974
154,2154,changedp,17.86899567
155,2155,changegreedy,0.020027161
155,2155,changedp,13.27085495
156,2156,changegreedy,0.012874603
156,2156,changedp,12.79187202
157,2157,changegreedy,0.020027161
157,2157,changedp,13.19313049
158,2158,changegreedy,0.015974045
158,2158,changedp,13.24391365
159,2159,changegreedy,0.020980835
159,2159,changedp,13.43894005
160,2160,changegreedy,0.01502037
160,2160,changedp,12.85505295
161,2161,changegreedy,0.022172928
161,2161,changedp,13.35501671
162,2162,changegreedy,0.01502037
162,2162,changedp,13.13519478
163,2163,changegreedy,0.020980835
163,2163,changedp,24.12700653
164,2164,changegreedy,0.025987625
164,2164,changedp,16.57390594
165,2165,changegreedy,0.015974045
165,2165,changedp,15.66410065
166,2166,changegreedy,0.01502037
166,2166,changedp,12.69197464
167,2167,changegreedy,0.01001358
167,2167,changedp,14.56999779
168,2168,changegreedy,0.020980835
168,2168,changedp,13.19003105
169,2169,changegreedy,0.023841858
169,2169,changedp,15.40493965
170,2170,changegreedy,0.014066696
170,2170,changedp,13.10610771
171,2171,changegreedy,0.022888184
171,2171,changedp,16.53003693
