set,size,algorithm,timing
106,2106,changegreedy,0.028133392
106,2106,changedp,29.04415131
107,2107,changegreedy,0.021934509
107,2107,changedp,29.03795242
108,2108,changegreedy,0.018835068
108,2108,changedp,29.1287899
109,2109,changegreedy,0.017881393
109,2109,changedp,28.85913849
110,2110,changegreedy,0.017881393
110,2110,changedp,28.88298035
111,2111,changegreedy,0.020027161
111,2111,changedp,28.79691124
112,2112,changegreedy,0.023841858
112,2112,changedp,29.23989296
113,2113,changegreedy,0.019788742
113,2113,changedp,29.02793884
114,2114,changegreedy,0.020027161
114,2114,changedp,28.99885178
115,2115,changegreedy,0.019073486
115,2115,changedp,29.22105789
116,2116,changegreedy,0.027179718
116,2116,changedp,28.60593796
117,2117,changegreedy,0.069141388
117,2117,changedp,28.57398987
118,2118,changegreedy,0.027179718
118,2118,changedp,30.85494041
119,2119,changegreedy,0.023841858
119,2119,changedp,30.01499176
120,2120,changegreedy,0.035047531
120,2120,changedp,28.37991714
121,2121,changegreedy,0.025987625
121,2121,changedp,35.25614738
122,2122,changegreedy,0.020980835
122,2122,changedp,29.34288979
123,2123,changegreedy,0.029087067
123,2123,changedp,29.088974
124,2124,changegreedy,0.021219254
124,2124,changedp,29.21199799
125,2125,changegreedy,0.027179718
125,2125,changedp,29.28590775
126,2126,changegreedy,0.027179718
126,2126,changedp,29.27994728
127,2127,changegreedy,0.028133392
127,2127,changedp,28.93590927
128,2128,changegreedy,0.05197525
128,2128,changedp,29.33812141
129,2129,changegreedy,0.025987625
129,2129,changedp,29.42204475
130,2130,changegreedy,0.027894974
130,2130,changedp,28.92589569
131,2131,changegreedy,0.03194809
131,2131,changedp,32.10115433
132,2132,changegreedy,0.025033951
132,2132,changedp,28.16081047
133,2133,changegreedy,0.028848648
133,2133,changedp,35.05206108
134,2134,changegreedy,0.019073486
134,2134,changedp,29.27684784
135,2135,changegreedy,0.024080276
135,2135,changedp,33.26702118
136,2136,changegreedy,0.021934509
136,2136,changedp,29.65188026
137,2137,changegreedy,0.021934509
137,2137,changedp,30.30180931
138,2138,changegreedy,0.020027161
138,2138,changedp,29.54387665
139,2139,changegreedy,0.025987625
139,2139,changedp,29.5689106
140,2140,changegreedy,0.021934509
140,2140,changedp,30.05409241
141,2141,changegreedy,0.021219254
141,2141,changedp,29.51097488
142,2142,changegreedy,0.022888184
142,2142,changedp,30.80916405
143,2143,changegreedy,0.025033951
143,2143,changedp,29.48403358
144,2144,changegreedy,0.020027161
144,2144,changedp,29.81996536
145,2145,changegreedy,0.019788742
145,2145,changedp,28.48005295
146,2146,changegreedy,0.027179718
146,2146,changedp,29.50406075
147,2147,changegreedy,0.03695488
147,2147,changedp,28.77402306
148,2148,changegreedy,0.025987625
148,2148,changedp,29.41989899
149,2149,changegreedy,0.025987625
149,2149,changedp,33.80393982
150,2150,changegreedy,0.021934509
150,2150,changedp,36.26799583
151,2151,changegreedy,0.019073486
151,2151,changedp,29.25610542
152,2152,changegreedy,0.018119812
152,2152,changedp,29.6061039
153,2153,changegreedy,0.019073486
153,2153,changedp,29.09898758
154,2154,changegreedy,0.021934509
154,2154,changedp,29.30402756
155,2155,changegreedy,0.022172928
155,2155,changedp,29.33692932
156,2156,changegreedy,0.019788742
156,2156,changedp,29.57701683
157,2157,changegreedy,0.020027161
157,2157,changedp,29.08611298
158,2158,changegreedy,0.024080276
158,2158,changedp,29.1519165
159,2159,changegreedy,0.024080276
159,2159,changedp,28.80215645
160,2160,changegreedy,0.061988831
160,2160,changedp,36.77010536
161,2161,changegreedy,0.019073486
161,2161,changedp,29.43587303
162,2162,changegreedy,0.025033951
162,2162,changedp,29.69384193
163,2163,changegreedy,0.018835068
163,2163,changedp,29.78086472
164,2164,changegreedy,0.020027161
164,2164,changedp,31.2359333
165,2165,changegreedy,0.020027161
165,2165,changedp,36.35787964
166,2166,changegreedy,0.020027161
166,2166,changedp,29.62088585
167,2167,changegreedy,0.017881393
167,2167,changedp,29.75583076
168,2168,changegreedy,0.020027161
168,2168,changedp,30.36308289
169,2169,changegreedy,0.025033951
169,2169,changedp,29.39605713
170,2170,changegreedy,0.020027161
170,2170,changedp,29.86097336
171,2171,changegreedy,0.020027161
171,2171,changedp,29.78396416
172,2172,changegreedy,0.020027161
172,2172,changedp,29.32810783
173,2173,changegreedy,0.028133392
173,2173,changedp,40.41409492
174,2174,changegreedy,0.030040741
174,2174,changedp,32.27496147
175,2175,changegreedy,0.023126602
175,2175,changedp,29.17003632
176,2176,changegreedy,0.019788742
176,2176,changedp,29.39295769
177,2177,changegreedy,0.019073486
177,2177,changedp,30.26413918
178,2178,changegreedy,0.023841858
178,2178,changedp,30.17711639
179,2179,changegreedy,0.032901764
179,2179,changedp,30.18403053
180,2180,changegreedy,0.019073486
180,2180,changedp,30.00998497
181,2181,changegreedy,0.026941299
181,2181,changedp,34.48486328
182,2182,changegreedy,0.020027161
182,2182,changedp,30.25794029
183,2183,changegreedy,0.019073486
183,2183,changedp,30.51900864
184,2184,changegreedy,0.019788742
184,2184,changedp,37.27006912
185,2185,changegreedy,0.020027161
185,2185,changedp,30.41291237
186,2186,changegreedy,0.017166138
186,2186,changedp,30.22623062
187,2187,changegreedy,0.017881393
187,2187,changedp,29.97303009
188,2188,changegreedy,0.019073486
188,2188,changedp,30.14802933
189,2189,changegreedy,0.019073486
189,2189,changedp,30.48491478
190,2190,changegreedy,0.019073486
190,2190,changedp,29.7768116
191,2191,changegreedy,0.017881393
191,2191,changedp,30.19189835
192,2192,changegreedy,0.025033951
192,2192,changedp,33.41817856
193,2193,changegreedy,0.024795532
193,2193,changedp,29.74700928
194,2194,changegreedy,0.044107437
194,2194,changedp,32.49597549
195,2195,changegreedy,0.030040741
195,2195,changedp,30.21907806
196,2196,changegreedy,0.069141388
196,2196,changedp,33.62393379
197,2197,changegreedy,0.050067902
197,2197,changedp,40.26198387
198,2198,changegreedy,0.020980835
198,2198,changedp,31.51798248
199,2199,changegreedy,0.018835068
199,2199,changedp,30.4350853
200,2200,changegreedy,0.020027161
200,2200,changedp,30.34710884
