set,size,algorithm,coins
139,2139,changedp,73
140,2140,changegreedy,72
140,2140,changedp,72
141,2141,changegreedy,73
141,2141,changedp,73
142,2142,changegreedy,72
142,2142,changedp,72
143,2143,changegreedy,73
143,2143,changedp,73
144,2144,changegreedy,72
144,2144,changedp,72
145,2145,changegreedy,73
145,2145,changedp,73
146,2146,changegreedy,72
146,2146,changedp,72
147,2147,changegreedy,73
147,2147,changedp,73
148,2148,changegreedy,72
148,2148,changedp,72
149,2149,changegreedy,73
149,2149,changedp,73
150,2150,changegreedy,72
150,2150,changedp,72
151,2151,changegreedy,73
151,2151,changedp,73
152,2152,changegreedy,72
152,2152,changedp,72
153,2153,changegreedy,73
153,2153,changedp,73
154,2154,changegreedy,72
154,2154,changedp,72
155,2155,changegreedy,73
155,2155,changedp,73
156,2156,changegreedy,72
156,2156,changedp,72
157,2157,changegreedy,73
157,2157,changedp,73
158,2158,changegreedy,72
158,2158,changedp,72
159,2159,changegreedy,73
159,2159,changedp,73
160,2160,changegreedy,72
160,2160,changedp,72
161,2161,changegreedy,73
161,2161,changedp,73
162,2162,changegreedy,73
162,2162,changedp,73
163,2163,changegreedy,74
163,2163,changedp,74
164,2164,changegreedy,73
164,2164,changedp,73
165,2165,changegreedy,74
165,2165,changedp,74
166,2166,changegreedy,73
166,2166,changedp,73
167,2167,changegreedy,74
167,2167,changedp,74
168,2168,changegreedy,73
168,2168,changedp,73
169,2169,changegreedy,74
169,2169,changedp,74
170,2170,changegreedy,73
170,2170,changedp,73
171,2171,changegreedy,74
171,2171,changedp,74
172,2172,changegreedy,73
172,2172,changedp,73
173,2173,changegreedy,74
173,2173,changedp,74
174,2174,changegreedy,73
174,2174,changedp,73
175,2175,changegreedy,74
175,2175,changedp,74
176,2176,changegreedy,73
176,2176,changedp,73
177,2177,changegreedy,74
177,2177,changedp,74
178,2178,changegreedy,73
178,2178,changedp,73
179,2179,changegreedy,74
179,2179,changedp,74
180,2180,changegreedy,73
180,2180,changedp,73
181,2181,changegreedy,74
181,2181,changedp,74
182,2182,changegreedy,73
182,2182,changedp,73
183,2183,changegreedy,74
183,2183,changedp,74
184,2184,changegreedy,73
184,2184,changedp,73
185,2185,changegreedy,74
185,2185,changedp,74
186,2186,changegreedy,73
186,2186,changedp,73
187,2187,changegreedy,74
187,2187,changedp,74
188,2188,changegreedy,73
188,2188,changedp,73
189,2189,changegreedy,74
189,2189,changedp,74
190,2190,changegreedy,73
190,2190,changedp,73
191,2191,changegreedy,74
191,2191,changedp,74
192,2192,changegreedy,74
192,2192,changedp,74
193,2193,changegreedy,75
193,2193,changedp,75
194,2194,changegreedy,74
194,2194,changedp,74
195,2195,changegreedy,75
195,2195,changedp,75
196,2196,changegreedy,74
196,2196,changedp,74
197,2197,changegreedy,75
197,2197,changedp,75
198,2198,changegreedy,74
198,2198,changedp,74
199,2199,changegreedy,75
199,2199,changedp,75
200,2200,changegreedy,74
200,2200,changedp,74
