set,size,algorithm,timing,n
147,2147,changedp,13.32688332,5
148,2148,changegreedy,0.01502037,5
148,2148,changedp,12.87794113,5
149,2149,changegreedy,0.023841858,5
149,2149,changedp,13.26799393,5
150,2150,changegreedy,0.014066696,5
150,2150,changedp,13.03315163,5
151,2151,changegreedy,0.023126602,5
151,2151,changedp,15.0551796,5
152,2152,changegreedy,0.012874603,5
152,2152,changedp,13.02695274,5
153,2153,changegreedy,0.023126602,5
153,2153,changedp,13.75603676,5
154,2154,changegreedy,0.027894974,5
154,2154,changedp,17.86899567,5
155,2155,changegreedy,0.020027161,5
155,2155,changedp,13.27085495,5
156,2156,changegreedy,0.012874603,5
156,2156,changedp,12.79187202,5
157,2157,changegreedy,0.020027161,5
157,2157,changedp,13.19313049,5
158,2158,changegreedy,0.015974045,5
158,2158,changedp,13.24391365,5
159,2159,changegreedy,0.020980835,5
159,2159,changedp,13.43894005,5
160,2160,changegreedy,0.01502037,5
160,2160,changedp,12.85505295,5
161,2161,changegreedy,0.022172928,5
161,2161,changedp,13.35501671,5
162,2162,changegreedy,0.01502037,5
162,2162,changedp,13.13519478,5
163,2163,changegreedy,0.020980835,5
163,2163,changedp,24.12700653,5
164,2164,changegreedy,0.025987625,5
164,2164,changedp,16.57390594,5
165,2165,changegreedy,0.015974045,5
165,2165,changedp,15.66410065,5
166,2166,changegreedy,0.01502037,5
166,2166,changedp,12.69197464,5
167,2167,changegreedy,0.01001358,5
167,2167,changedp,14.56999779,5
168,2168,changegreedy,0.020980835,5
168,2168,changedp,13.19003105,5
169,2169,changegreedy,0.023841858,5
169,2169,changedp,15.40493965,5
170,2170,changegreedy,0.014066696,5
170,2170,changedp,13.10610771,5
171,2171,changegreedy,0.022888184,5
171,2171,changedp,16.53003693,5
172,2172,changegreedy,0.013113022,5
172,2172,changedp,13.21983337,5
173,2173,changegreedy,0.020980835,5
173,2173,changedp,12.89200783,5
174,2174,changegreedy,0.01502037,5
174,2174,changedp,13.15188408,5
175,2175,changegreedy,0.020980835,5
175,2175,changedp,13.77177238,5
176,2176,changegreedy,0.01502037,5
176,2176,changedp,12.87794113,5
177,2177,changegreedy,0.030040741,5
177,2177,changedp,14.03403282,5
178,2178,changegreedy,0.017166138,5
178,2178,changedp,20.08199692,5
179,2179,changegreedy,0.019073486,5
179,2179,changedp,13.74101639,5
180,2180,changegreedy,0.026941299,5
180,2180,changedp,14.37902451,5
181,2181,changegreedy,0.029087067,5
181,2181,changedp,13.00597191,5
182,2182,changegreedy,0.021934509,5
182,2182,changedp,13.78583908,5
183,2183,changegreedy,0.01502037,5
183,2183,changedp,13.60106468,5
184,2184,changegreedy,0.020027161,5
184,2184,changedp,13.51499557,5
185,2185,changegreedy,0.014066696,5
185,2185,changedp,13.20099831,5
186,2186,changegreedy,0.022888184,5
186,2186,changedp,13.61203194,5
187,2187,changegreedy,0.014066696,5
187,2187,changedp,13.31996918,5
188,2188,changegreedy,0.019073486,5
188,2188,changedp,13.17310333,5
189,2189,changegreedy,0.011920929,5
189,2189,changedp,13.25583458,5
190,2190,changegreedy,0.020980835,5
190,2190,changedp,13.58318329,5
191,2191,changegreedy,0.013113022,5
191,2191,changedp,15.04206657,5
192,2192,changegreedy,0.023126602,5
192,2192,changedp,13.46206665,5
193,2193,changegreedy,0.01502037,5
193,2193,changedp,13.39507103,5
194,2194,changegreedy,0.020980835,5
194,2194,changedp,13.59701157,5
195,2195,changegreedy,0.014066696,5
195,2195,changedp,13.28611374,5
196,2196,changegreedy,0.021934509,5
196,2196,changedp,16.8159008,5
197,2197,changegreedy,0.012874603,5
197,2197,changedp,13.25392723,5
198,2198,changegreedy,0.022888184,5
198,2198,changedp,13.62204552,5
199,2199,changegreedy,0.013828278,5
199,2199,changedp,13.55695724,5
200,2200,changegreedy,0.025987625,5
200,2200,changedp,13.45396042,5
0,2000,changegreedy,0.018835068,16
0,2000,changedp,29.25896645,16
1,2001,changegreedy,0.028133392,16
1,2001,changedp,27.51398087,16
2,2002,changegreedy,0.025987625,16
2,2002,changedp,27.6119709,16
3,2003,changegreedy,0.021219254,16
3,2003,changedp,27.74405479,16
4,2004,changegreedy,0.020980835,16
4,2004,changedp,27.58789063,16
5,2005,changegreedy,0.020027161,16
5,2005,changedp,37.98007965,16
6,2006,changegreedy,0.026226044,16
6,2006,changedp,28.22709084,16
7,2007,changegreedy,0.020980835,16
7,2007,changedp,27.70709991,16
8,2008,changegreedy,0.022172928,16
8,2008,changedp,28.01799774,16
9,2009,changegreedy,0.020027161,16
9,2009,changedp,27.62293816,16
10,2010,changegreedy,0.045061111,16
10,2010,changedp,27.135849,16
11,2011,changegreedy,0.023841858,16
11,2011,changedp,27.99582481,16
12,2012,changegreedy,0.025987625,16
12,2012,changedp,33.87117386,16
13,2013,changegreedy,0.026941299,16
13,2013,changedp,38.96021843,16
14,2014,changegreedy,0.021219254,16
14,2014,changedp,28.27000618,16
15,2015,changegreedy,0.020027161,16
15,2015,changedp,35.4719162,16
16,2016,changegreedy,0.021219254,16
16,2016,changedp,28.03015709,16
17,2017,changegreedy,0.019073486,16
17,2017,changedp,27.81295776,16
18,2018,changegreedy,0.019073486,16
18,2018,changedp,27.71091461,16
19,2019,changegreedy,0.019073486,16
19,2019,changedp,27.92596817,16
20,2020,changegreedy,0.020027161,16
20,2020,changedp,27.93192863,16
21,2021,changegreedy,0.018835068,16
21,2021,changedp,27.75502205,16
22,2022,changegreedy,0.023126602,16
22,2022,changedp,27.77886391,16
23,2023,changegreedy,0.025033951,16
23,2023,changedp,27.27413177,16
24,2024,changegreedy,0.025033951,16
24,2024,changedp,29.64115143,16
25,2025,changegreedy,0.020980835,16
25,2025,changedp,27.62389183,16
26,2026,changegreedy,0.025033951,16
26,2026,changedp,27.07290649,16
27,2027,changegreedy,0.025033951,16
27,2027,changedp,36.02695465,16
28,2028,changegreedy,0.027894974,16
28,2028,changedp,28.32698822,16
29,2029,changegreedy,0.034093857,16
29,2029,changedp,27.40716934,16
30,2030,changegreedy,0.029087067,16
30,2030,changedp,26.82995796,16
31,2031,changegreedy,0.030994415,16
31,2031,changedp,27.35805511,16
32,2032,changegreedy,0.027894974,16
32,2032,changedp,27.58312225,16
33,2033,changegreedy,0.026941299,16
33,2033,changedp,27.58908272,16
34,2034,changegreedy,0.025033951,16
34,2034,changedp,27.78482437,16
35,2035,changegreedy,0.027179718,16
35,2035,changedp,47.26815224,16
36,2036,changegreedy,0.026941299,16
36,2036,changedp,30.07102013,16
37,2037,changegreedy,0.032901764,16
37,2037,changedp,33.69379044,16
38,2038,changegreedy,0.020027161,16
38,2038,changedp,28.22208405,16
39,2039,changegreedy,0.021934509,16
39,2039,changedp,35.05396843,16
40,2040,changegreedy,0.020980835,16
40,2040,changedp,28.88083458,16
41,2041,changegreedy,0.020027161,16
41,2041,changedp,28.11288834,16
42,2042,changegreedy,0.020027161,16
42,2042,changedp,28.5449028,16
43,2043,changegreedy,0.018835068,16
43,2043,changedp,28.36108208,16
44,2044,changegreedy,0.028848648,16
44,2044,changedp,28.621912,16
45,2045,changegreedy,0.024795532,16
45,2045,changedp,27.81200409,16
46,2046,changegreedy,0.020027161,16
46,2046,changedp,29.15906906,16
47,2047,changegreedy,0.020027161,16
47,2047,changedp,28.01799774,16
48,2048,changegreedy,0.026941299,16
48,2048,changedp,28.04398537,16
49,2049,changegreedy,0.025033951,16
49,2049,changedp,28.2869339,16
50,2050,changegreedy,0.026941299,16
50,2050,changedp,32.32502937,16
51,2051,changegreedy,0.025987625,16
51,2051,changedp,28.2831192,16
52,2052,changegreedy,0.024795532,16
52,2052,changedp,29.45804596,16
53,2053,changegreedy,0.033855438,16
53,2053,changedp,29.2570591,16
54,2054,changegreedy,0.040054321,16
54,2054,changedp,43.3011055,16
55,2055,changegreedy,0.026226044,16
55,2055,changedp,30.11107445,16
56,2056,changegreedy,0.020980835,16
56,2056,changedp,27.98700333,16
57,2057,changegreedy,0.020027161,16
57,2057,changedp,28.59282494,16
58,2058,changegreedy,0.020980835,16
58,2058,changedp,28.66983414,16
59,2059,changegreedy,0.019073486,16
59,2059,changedp,27.88591385,16
60,2060,changegreedy,0.025987625,16
60,2060,changedp,27.88805962,16
61,2061,changegreedy,0.024080276,16
61,2061,changedp,28.40709686,16
62,2062,changegreedy,0.019788742,16
62,2062,changedp,30.70783615,16
63,2063,changegreedy,0.029802322,16
63,2063,changedp,29.71386909,16
64,2064,changegreedy,0.030994415,16
64,2064,changedp,31.64696693,16
65,2065,changegreedy,0.030994415,16
65,2065,changedp,27.96506882,16
66,2066,changegreedy,0.03194809,16
66,2066,changedp,26.10015869,16
67,2067,changegreedy,0.05698204,16
67,2067,changedp,28.92899513,16
68,2068,changegreedy,0.025987625,16
68,2068,changedp,26.87692642,16
69,2069,changegreedy,0.026941299,16
69,2069,changedp,28.247118,16
70,2070,changegreedy,0.025987625,16
70,2070,changedp,28.06711197,16
71,2071,changegreedy,0.025033951,16
71,2071,changedp,32.16695786,16
72,2072,changegreedy,0.030040741,16
72,2072,changedp,28.48291397,16
73,2073,changegreedy,0.025033951,16
73,2073,changedp,28.23114395,16
74,2074,changegreedy,0.023126602,16
74,2074,changedp,28.59282494,16
75,2075,changegreedy,0.036001205,16
75,2075,changedp,29.27708626,16
76,2076,changegreedy,0.025987625,16
76,2076,changedp,30.5480957,16
77,2077,changegreedy,0.025987625,16
77,2077,changedp,28.4910202,16
78,2078,changegreedy,0.020027161,16
78,2078,changedp,29.72102165,16
79,2079,changegreedy,0.043869019,16
79,2079,changedp,32.00602531,16
80,2080,changegreedy,0.030994415,16
80,2080,changedp,29.25109863,16
81,2081,changegreedy,0.050067902,16
81,2081,changedp,28.93400192,16
82,2082,changegreedy,0.033140182,16
82,2082,changedp,28.52296829,16
83,2083,changegreedy,0.028133392,16
83,2083,changedp,26.78894997,16
84,2084,changegreedy,0.034093857,16
84,2084,changedp,34.88898277,16
85,2085,changegreedy,0.024080276,16
85,2085,changedp,28.78689766,16
86,2086,changegreedy,0.035047531,16
86,2086,changedp,30.83992004,16
87,2087,changegreedy,0.03194809,16
87,2087,changedp,28.52010727,16
88,2088,changegreedy,0.032901764,16
88,2088,changedp,44.03781891,16
89,2089,changegreedy,0.023126602,16
89,2089,changedp,28.87582779,16
90,2090,changegreedy,0.025987625,16
90,2090,changedp,30.14397621,16
91,2091,changegreedy,0.020027161,16
91,2091,changedp,36.82398796,16
92,2092,changegreedy,0.019788742,16
92,2092,changedp,29.3109417,16
93,2093,changegreedy,0.018119812,16
93,2093,changedp,28.6860466,16
94,2094,changegreedy,0.019073486,16
94,2094,changedp,28.87892723,16
95,2095,changegreedy,0.018835068,16
95,2095,changedp,29.43992615,16
96,2096,changegreedy,0.019073486,16
96,2096,changedp,29.65712547,16
97,2097,changegreedy,0.019073486,16
97,2097,changedp,29.41179276,16
98,2098,changegreedy,0.025987625,16
98,2098,changedp,29.00290489,16
99,2099,changegreedy,0.019073486,16
99,2099,changedp,29.21414375,16
100,2100,changegreedy,0.030040741,16
100,2100,changedp,33.27989578,16
101,2101,changegreedy,0.018119812,16
101,2101,changedp,29.17504311,16
102,2102,changegreedy,0.020980835,16
102,2102,changedp,28.99289131,16
103,2103,changegreedy,0.018119812,16
103,2103,changedp,29.01291847,16
104,2104,changegreedy,0.018119812,16
104,2104,changedp,29.14404869,16
105,2105,changegreedy,0.019073486,16
105,2105,changedp,28.85508537,16
106,2106,changegreedy,0.028133392,16
106,2106,changedp,29.04415131,16
107,2107,changegreedy,0.021934509,16
107,2107,changedp,29.03795242,16
108,2108,changegreedy,0.018835068,16
108,2108,changedp,29.1287899,16
109,2109,changegreedy,0.017881393,16
109,2109,changedp,28.85913849,16
110,2110,changegreedy,0.017881393,16
110,2110,changedp,28.88298035,16
111,2111,changegreedy,0.020027161,16
111,2111,changedp,28.79691124,16
112,2112,changegreedy,0.023841858,16
112,2112,changedp,29.23989296,16
113,2113,changegreedy,0.019788742,16
113,2113,changedp,29.02793884,16
114,2114,changegreedy,0.020027161,16
114,2114,changedp,28.99885178,16
115,2115,changegreedy,0.019073486,16
115,2115,changedp,29.22105789,16
116,2116,changegreedy,0.027179718,16
116,2116,changedp,28.60593796,16
117,2117,changegreedy,0.069141388,16
117,2117,changedp,28.57398987,16
118,2118,changegreedy,0.027179718,16
118,2118,changedp,30.85494041,16
119,2119,changegreedy,0.023841858,16
119,2119,changedp,30.01499176,16
120,2120,changegreedy,0.035047531,16
120,2120,changedp,28.37991714,16
121,2121,changegreedy,0.025987625,16
121,2121,changedp,35.25614738,16
122,2122,changegreedy,0.020980835,16
122,2122,changedp,29.34288979,16
123,2123,changegreedy,0.029087067,16
123,2123,changedp,29.088974,16
124,2124,changegreedy,0.021219254,16
124,2124,changedp,29.21199799,16
125,2125,changegreedy,0.027179718,16
125,2125,changedp,29.28590775,16
126,2126,changegreedy,0.027179718,16
126,2126,changedp,29.27994728,16
127,2127,changegreedy,0.028133392,16
127,2127,changedp,28.93590927,16
128,2128,changegreedy,0.05197525,16
128,2128,changedp,29.33812141,16
129,2129,changegreedy,0.025987625,16
129,2129,changedp,29.42204475,16
130,2130,changegreedy,0.027894974,16
130,2130,changedp,28.92589569,16
131,2131,changegreedy,0.03194809,16
131,2131,changedp,32.10115433,16
132,2132,changegreedy,0.025033951,16
132,2132,changedp,28.16081047,16
133,2133,changegreedy,0.028848648,16
133,2133,changedp,35.05206108,16
134,2134,changegreedy,0.019073486,16
134,2134,changedp,29.27684784,16
135,2135,changegreedy,0.024080276,16
135,2135,changedp,33.26702118,16
136,2136,changegreedy,0.021934509,16
136,2136,changedp,29.65188026,16
137,2137,changegreedy,0.021934509,16
137,2137,changedp,30.30180931,16
138,2138,changegreedy,0.020027161,16
138,2138,changedp,29.54387665,16
139,2139,changegreedy,0.025987625,16
139,2139,changedp,29.5689106,16
140,2140,changegreedy,0.021934509,16
140,2140,changedp,30.05409241,16
141,2141,changegreedy,0.021219254,16
141,2141,changedp,29.51097488,16
142,2142,changegreedy,0.022888184,16
142,2142,changedp,30.80916405,16
143,2143,changegreedy,0.025033951,16
143,2143,changedp,29.48403358,16
144,2144,changegreedy,0.020027161,16
144,2144,changedp,29.81996536,16
145,2145,changegreedy,0.019788742,16
145,2145,changedp,28.48005295,16
146,2146,changegreedy,0.027179718,16
146,2146,changedp,29.50406075,16
147,2147,changegreedy,0.03695488,16
147,2147,changedp,28.77402306,16
148,2148,changegreedy,0.025987625,16
148,2148,changedp,29.41989899,16
149,2149,changegreedy,0.025987625,16
149,2149,changedp,33.80393982,16
150,2150,changegreedy,0.021934509,16
150,2150,changedp,36.26799583,16
151,2151,changegreedy,0.019073486,16
151,2151,changedp,29.25610542,16
152,2152,changegreedy,0.018119812,16
152,2152,changedp,29.6061039,16
153,2153,changegreedy,0.019073486,16
153,2153,changedp,29.09898758,16
154,2154,changegreedy,0.021934509,16
154,2154,changedp,29.30402756,16
155,2155,changegreedy,0.022172928,16
155,2155,changedp,29.33692932,16
156,2156,changegreedy,0.019788742,16
156,2156,changedp,29.57701683,16
157,2157,changegreedy,0.020027161,16
157,2157,changedp,29.08611298,16
158,2158,changegreedy,0.024080276,16
158,2158,changedp,29.1519165,16
159,2159,changegreedy,0.024080276,16
159,2159,changedp,28.80215645,16
160,2160,changegreedy,0.061988831,16
160,2160,changedp,36.77010536,16
161,2161,changegreedy,0.019073486,16
161,2161,changedp,29.43587303,16
162,2162,changegreedy,0.025033951,16
162,2162,changedp,29.69384193,16
163,2163,changegreedy,0.018835068,16
163,2163,changedp,29.78086472,16
164,2164,changegreedy,0.020027161,16
164,2164,changedp,31.2359333,16
165,2165,changegreedy,0.020027161,16
165,2165,changedp,36.35787964,16
166,2166,changegreedy,0.020027161,16
166,2166,changedp,29.62088585,16
167,2167,changegreedy,0.017881393,16
167,2167,changedp,29.75583076,16
168,2168,changegreedy,0.020027161,16
168,2168,changedp,30.36308289,16
169,2169,changegreedy,0.025033951,16
169,2169,changedp,29.39605713,16
170,2170,changegreedy,0.020027161,16
170,2170,changedp,29.86097336,16
171,2171,changegreedy,0.020027161,16
171,2171,changedp,29.78396416,16
172,2172,changegreedy,0.020027161,16
172,2172,changedp,29.32810783,16
173,2173,changegreedy,0.028133392,16
173,2173,changedp,40.41409492,16
174,2174,changegreedy,0.030040741,16
174,2174,changedp,32.27496147,16
175,2175,changegreedy,0.023126602,16
175,2175,changedp,29.17003632,16
176,2176,changegreedy,0.019788742,16
176,2176,changedp,29.39295769,16
177,2177,changegreedy,0.019073486,16
177,2177,changedp,30.26413918,16
178,2178,changegreedy,0.023841858,16
178,2178,changedp,30.17711639,16
179,2179,changegreedy,0.032901764,16
179,2179,changedp,30.18403053,16
180,2180,changegreedy,0.019073486,16
180,2180,changedp,30.00998497,16
181,2181,changegreedy,0.026941299,16
181,2181,changedp,34.48486328,16
182,2182,changegreedy,0.020027161,16
182,2182,changedp,30.25794029,16
183,2183,changegreedy,0.019073486,16
183,2183,changedp,30.51900864,16
184,2184,changegreedy,0.019788742,16
184,2184,changedp,37.27006912,16
185,2185,changegreedy,0.020027161,16
185,2185,changedp,30.41291237,16
186,2186,changegreedy,0.017166138,16
186,2186,changedp,30.22623062,16
187,2187,changegreedy,0.017881393,16
187,2187,changedp,29.97303009,16
188,2188,changegreedy,0.019073486,16
188,2188,changedp,30.14802933,16
189,2189,changegreedy,0.019073486,16
189,2189,changedp,30.48491478,16
190,2190,changegreedy,0.019073486,16
190,2190,changedp,29.7768116,16
191,2191,changegreedy,0.017881393,16
191,2191,changedp,30.19189835,16
192,2192,changegreedy,0.025033951,16
192,2192,changedp,33.41817856,16
193,2193,changegreedy,0.024795532,16
193,2193,changedp,29.74700928,16
194,2194,changegreedy,0.044107437,16
194,2194,changedp,32.49597549,16
195,2195,changegreedy,0.030040741,16
195,2195,changedp,30.21907806,16
196,2196,changegreedy,0.069141388,16
196,2196,changedp,33.62393379,16
197,2197,changegreedy,0.050067902,16
197,2197,changedp,40.26198387,16
198,2198,changegreedy,0.020980835,16
198,2198,changedp,31.51798248,16
199,2199,changegreedy,0.018835068,16
199,2199,changedp,30.4350853,16
200,2200,changegreedy,0.020027161,16
200,2200,changedp,30.34710884,16
