set,size,algorithm,timing,n
54,2054,changedp,17.11392403,7
55,2055,changegreedy,0.014066696,7
55,2055,changedp,15.27714729,7
56,2056,changegreedy,0.029087067,7
56,2056,changedp,15.32196999,7
57,2057,changegreedy,0.013113022,7
57,2057,changedp,15.87796211,7
58,2058,changegreedy,0.015974045,7
58,2058,changedp,15.20490646,7
59,2059,changegreedy,0.012159348,7
59,2059,changedp,16.051054,7
60,2060,changegreedy,0.012874603,7
60,2060,changedp,15.28716087,7
61,2061,changegreedy,0.013113022,7
61,2061,changedp,19.20795441,7
62,2062,changegreedy,0.017881393,7
62,2062,changedp,17.13299751,7
63,2063,changegreedy,0.01502037,7
63,2063,changedp,15.54083824,7
64,2064,changegreedy,0.01502037,7
64,2064,changedp,17.26412773,7
65,2065,changegreedy,0.018119812,7
65,2065,changedp,16.61586761,7
66,2066,changegreedy,0.018119812,7
66,2066,changedp,15.88988304,7
67,2067,changegreedy,0.014066696,7
67,2067,changedp,16.933918,7
68,2068,changegreedy,0.034093857,7
68,2068,changedp,18.47791672,7
69,2069,changegreedy,0.017166138,7
69,2069,changedp,15.54703712,7
70,2070,changegreedy,0.012874603,7
70,2070,changedp,16.13116264,7
71,2071,changegreedy,0.014781952,7
71,2071,changedp,16.33906364,7
72,2072,changegreedy,0.018119812,7
72,2072,changedp,15.41900635,7
73,2073,changegreedy,0.012874603,7
73,2073,changedp,16.49403572,7
74,2074,changegreedy,0.01502037,7
74,2074,changedp,14.53208923,7
75,2075,changegreedy,0.014066696,7
75,2075,changedp,16.23916626,7
76,2076,changegreedy,0.01502037,7
76,2076,changedp,16.42608643,7
77,2077,changegreedy,0.018119812,7
77,2077,changedp,15.90299606,7
78,2078,changegreedy,0.01502037,7
78,2078,changedp,17.46511459,7
79,2079,changegreedy,0.018119812,7
79,2079,changedp,15.406847,7
80,2080,changegreedy,0.037193298,7
80,2080,changedp,15.81788063,7
81,2081,changegreedy,0.018119812,7
81,2081,changedp,16.86096191,7
82,2082,changegreedy,0.020980835,7
82,2082,changedp,24.23214912,7
83,2083,changegreedy,0.018835068,7
83,2083,changedp,17.82393456,7
84,2084,changegreedy,0.020027161,7
84,2084,changedp,16.08610153,7
85,2085,changegreedy,0.01502037,7
85,2085,changedp,15.87700844,7
86,2086,changegreedy,0.017166138,7
86,2086,changedp,15.40088654,7
87,2087,changegreedy,0.014066696,7
87,2087,changedp,17.55189896,7
88,2088,changegreedy,0.022888184,7
88,2088,changedp,19.40011978,7
89,2089,changegreedy,0.03695488,7
89,2089,changedp,23.04887772,7
90,2090,changegreedy,0.015974045,7
90,2090,changedp,16.42799377,7
91,2091,changegreedy,0.013828278,7
91,2091,changedp,15.50078392,7
92,2092,changegreedy,0.027894974,7
92,2092,changedp,20.02692223,7
93,2093,changegreedy,0.015974045,7
93,2093,changedp,16.19911194,7
94,2094,changegreedy,0.016212463,7
94,2094,changedp,15.5851841,7
95,2095,changegreedy,0.013113022,7
95,2095,changedp,16.60203934,7
96,2096,changegreedy,0.01502037,7
96,2096,changedp,15.74110985,7
97,2097,changegreedy,0.013113022,7
97,2097,changedp,16.08896255,7
98,2098,changegreedy,0.016927719,7
98,2098,changedp,16.12186432,7
99,2099,changegreedy,0.035047531,7
99,2099,changedp,18.79096031,7
100,2100,changegreedy,0.015974045,7
100,2100,changedp,19.72985268,7
101,2101,changegreedy,0.015974045,7
101,2101,changedp,16.310215,7
102,2102,changegreedy,0.016927719,7
102,2102,changedp,15.79284668,7
103,2103,changegreedy,0.013828278,7
103,2103,changedp,16.3731575,7
104,2104,changegreedy,0.021219254,7
104,2104,changedp,15.94901085,7
105,2105,changegreedy,0.025033951,7
105,2105,changedp,15.78998566,7
106,2106,changegreedy,0.013828278,7
106,2106,changedp,19.30999756,7
107,2107,changegreedy,0.015974045,7
107,2107,changedp,15.79213142,7
108,2108,changegreedy,0.011920929,7
108,2108,changedp,18.06282997,7
109,2109,changegreedy,0.015974045,7
109,2109,changedp,16.35909081,7
110,2110,changegreedy,0.01502037,7
110,2110,changedp,15.75613022,7
111,2111,changegreedy,0.01502037,7
111,2111,changedp,16.41893387,7
112,2112,changegreedy,0.015974045,7
112,2112,changedp,16.08991623,7
113,2113,changegreedy,0.026941299,7
113,2113,changedp,15.96403122,7
114,2114,changegreedy,0.024080276,7
114,2114,changedp,17.14992523,7
115,2115,changegreedy,0.015974045,7
115,2115,changedp,15.67792892,7
116,2116,changegreedy,0.029087067,7
116,2116,changedp,16.27588272,7
117,2117,changegreedy,0.01502037,7
117,2117,changedp,16.43204689,7
118,2118,changegreedy,0.015974045,7
118,2118,changedp,15.90299606,7
119,2119,changegreedy,0.014066696,7
119,2119,changedp,17.38190651,7
120,2120,changegreedy,0.016927719,7
120,2120,changedp,15.03014565,7
